C:\Users\thatx\anaconda3\lib\site-packages\scipy\__init__.py:177: UserWarning: A NumPy version >=1.18.5 and <1.26.0 is required for this version of SciPy (detected version 1.26.0
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Now with the random
step  16 	 seed 530 	 episode 0  -  16.0
step  48 	 seed 137 	 episode 1  -  32.0
step  116 	 seed 263 	 episode 2  -  68.0
step  188 	 seed 814 	 episode 3  -  72.0
step  227 	 seed 529 	 episode 4  -  39.0
step  236 	 seed 669 	 episode 5  -  9.0
step  247 	 seed 689 	 episode 6  -  11.0
step  259 	 seed 258 	 episode 7  -  12.0
step  272 	 seed 503 	 episode 8  -  13.0
step  305 	 seed 222 	 episode 9  -  33.0
step  327 	 seed 656 	 episode 10  -  22.0
step  341 	 seed 323 	 episode 11  -  14.0
step  395 	 seed 575 	 episode 12  -  54.0
step  405 	 seed 196 	 episode 13  -  10.0
step  420 	 seed 344 	 episode 14  -  15.0
step  431 	 seed 562 	 episode 15  -  11.0
step  469 	 seed 536 	 episode 16  -  38.0
step  483 	 seed 976 	 episode 17  -  14.0
step  497 	 seed 629 	 episode 18  -  14.0
step  512 	 seed 298 	 episode 19  -  15.0
step  524 	 seed 474 	 episode 20  -  12.0
step  540 	 seed 413 	 episode 21  -  16.0
step  562 	 seed 990 	 episode 22  -  22.0
step  574 	 seed 468 	 episode 23  -  12.0
step  583 	 seed 593 	 episode 24  -  9.0
step  614 	 seed 671 	 episode 25  -  31.0
step  630 	 seed 826 	 episode 26  -  16.0
step  647 	 seed 565 	 episode 27  -  17.0
step  665 	 seed 134 	 episode 28  -  18.0
step  695 	 seed 795 	 episode 29  -  30.0
step  714 	 seed 631 	 episode 30  -  19.0
step  788 	 seed 735 	 episode 31  -  74.0
step  837 	 seed 790 	 episode 32  -  49.0
step  867 	 seed 157 	 episode 33  -  30.0
step  885 	 seed 300 	 episode 34  -  18.0
step  896 	 seed 724 	 episode 35  -  11.0
step  916 	 seed 296 	 episode 36  -  20.0
step  929 	 seed 703 	 episode 37  -  13.0
step  980 	 seed 854 	 episode 38  -  51.0
step  993 	 seed 272 	 episode 39  -  13.0
step  1010 	 seed 416 	 episode 40  -  17.0
step  1030 	 seed 173 	 episode 41  -  20.0
step  1049 	 seed 130 	 episode 42  -  19.0
step  1061 	 seed 904 	 episode 43  -  12.0
step  1071 	 seed 965 	 episode 44  -  10.0
step  1088 	 seed 949 	 episode 45  -  17.0
step  1107 	 seed 385 	 episode 46  -  19.0
step  1118 	 seed 231 	 episode 47  -  11.0
step  1144 	 seed 602 	 episode 48  -  26.0
step  1159 	 seed 486 	 episode 49  -  15.0
step  1187 	 seed 717 	 episode 50  -  28.0
step  1204 	 seed 396 	 episode 51  -  17.0
step  1220 	 seed 924 	 episode 52  -  16.0
step  1239 	 seed 999 	 episode 53  -  19.0
step  1259 	 seed 329 	 episode 54  -  20.0
step  1324 	 seed 955 	 episode 55  -  65.0
step  1335 	 seed 169 	 episode 56  -  11.0
step  1346 	 seed 679 	 episode 57  -  11.0
step  1371 	 seed 931 	 episode 58  -  25.0
step  1380 	 seed 539 	 episode 59  -  9.0
step  1392 	 seed 947 	 episode 60  -  12.0
step  1416 	 seed 394 	 episode 61  -  24.0
step  1429 	 seed 571 	 episode 62  -  13.0
step  1464 	 seed 873 	 episode 63  -  35.0
step  1487 	 seed 489 	 episode 64  -  23.0
step  1512 	 seed 544 	 episode 65  -  25.0
step  1533 	 seed 112 	 episode 66  -  21.0
step  1553 	 seed 792 	 episode 67  -  20.0
step  1571 	 seed 214 	 episode 68  -  18.0
step  1585 	 seed 188 	 episode 69  -  14.0
step  1630 	 seed 810 	 episode 70  -  45.0
step  1654 	 seed 716 	 episode 71  -  24.0
step  1679 	 seed 626 	 episode 72  -  25.0
step  1692 	 seed 284 	 episode 73  -  13.0
step  1707 	 seed 743 	 episode 74  -  15.0
step  1739 	 seed 848 	 episode 75  -  32.0
step  1780 	 seed 210 	 episode 76  -  41.0
step  1800 	 seed 533 	 episode 77  -  20.0
step  1814 	 seed 649 	 episode 78  -  14.0
step  1829 	 seed 896 	 episode 79  -  15.0
step  1841 	 seed 705 	 episode 80  -  12.0
step  1853 	 seed 885 	 episode 81  -  12.0
step  1865 	 seed 737 	 episode 82  -  12.0
step  1893 	 seed 213 	 episode 83  -  28.0
step  1907 	 seed 306 	 episode 84  -  14.0
step  1926 	 seed 794 	 episode 85  -  19.0
step  1935 	 seed 398 	 episode 86  -  9.0
step  1953 	 seed 929 	 episode 87  -  18.0
step  1970 	 seed 974 	 episode 88  -  17.0
step  2002 	 seed 893 	 episode 89  -  32.0
step  2022 	 seed 733 	 episode 90  -  20.0
step  2047 	 seed 978 	 episode 91  -  25.0
step  2059 	 seed 269 	 episode 92  -  12.0
step  2113 	 seed 102 	 episode 93  -  54.0
step  2132 	 seed 551 	 episode 94  -  19.0
step  2156 	 seed 380 	 episode 95  -  24.0
step  2171 	 seed 388 	 episode 96  -  15.0
