C:\Users\thatx\anaconda3\lib\site-packages\scipy\__init__.py:177: UserWarning: A NumPy version >=1.18.5 and <1.26.0 is required for this version of SciPy (detected version 1.26.0
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Now with the random
step  84 	 seed 250 	 episode 0  -  -134.35354072682082
step  197 	 seed 502 	 episode 1  -  -157.28122414456905
step  300 	 seed 933 	 episode 2  -  -271.3926284623053
step  377 	 seed 251 	 episode 3  -  -108.39420131831233
step  484 	 seed 765 	 episode 4  -  -267.6625910657126
step  580 	 seed 841 	 episode 5  -  -149.67831944019724
step  681 	 seed 827 	 episode 6  -  -472.96043012514184
step  794 	 seed 407 	 episode 7  -  -126.05105539824285
step  881 	 seed 814 	 episode 8  -  -263.6966384220967
step  987 	 seed 521 	 episode 9  -  -391.02617804169046
step  1046 	 seed 669 	 episode 10  -  -66.26333636516968
step  1195 	 seed 550 	 episode 11  -  -239.21122598831957
step  1311 	 seed 662 	 episode 12  -  -263.5949540524192
step  1390 	 seed 677 	 episode 13  -  -105.08391214932995
step  1466 	 seed 388 	 episode 14  -  -128.0237869537426
step  1578 	 seed 468 	 episode 15  -  -167.31843425877156
step  1658 	 seed 878 	 episode 16  -  -250.85968569785666
step  1759 	 seed 884 	 episode 17  -  -238.1757636833271
step  1834 	 seed 319 	 episode 18  -  -229.77572478941227
step  1920 	 seed 183 	 episode 19  -  -122.88747228056039
step  2010 	 seed 686 	 episode 20  -  -318.22842664761174
step  2075 	 seed 326 	 episode 21  -  -140.14332589679543
step  2199 	 seed 428 	 episode 22  -  -232.1125736718857
step  2297 	 seed 967 	 episode 23  -  -129.88501392030645
step  2388 	 seed 152 	 episode 24  -  -356.2005259326603
step  2485 	 seed 530 	 episode 25  -  -316.0265079874878
step  2579 	 seed 695 	 episode 26  -  -281.81142713220004
step  2674 	 seed 657 	 episode 27  -  -238.52794782320072
step  2770 	 seed 242 	 episode 28  -  -295.98436796603835
step  2843 	 seed 145 	 episode 29  -  -211.0874670329323
step  2950 	 seed 281 	 episode 30  -  -80.96862688564772
step  3024 	 seed 726 	 episode 31  -  -153.92011966638287
step  3134 	 seed 930 	 episode 32  -  -248.86312507506048
step  3211 	 seed 123 	 episode 33  -  -122.75014610269963
step  3318 	 seed 384 	 episode 34  -  -135.98923383460163
step  3385 	 seed 160 	 episode 35  -  -158.79512940965282
step  3481 	 seed 141 	 episode 36  -  -188.88649021144568
step  3560 	 seed 643 	 episode 37  -  -231.85080639400158
step  3659 	 seed 732 	 episode 38  -  -216.88120424389106
step  3765 	 seed 234 	 episode 39  -  -136.52320288390243
step  3884 	 seed 473 	 episode 40  -  -191.2519808574339
step  4006 	 seed 968 	 episode 41  -  -115.34846022916562
step  4066 	 seed 600 	 episode 42  -  -143.1877670436207
step  4143 	 seed 258 	 episode 43  -  -295.1771996981795
step  4247 	 seed 777 	 episode 44  -  -121.47768133757971
step  4313 	 seed 195 	 episode 45  -  -196.1862542974339
step  4428 	 seed 811 	 episode 46  -  -242.36886402960175
step  4497 	 seed 403 	 episode 47  -  -146.96423976651505
step  4574 	 seed 745 	 episode 48  -  -104.12028358825654
step  4679 	 seed 678 	 episode 49  -  -294.1168464172511
step  4744 	 seed 471 	 episode 50  -  -82.03646093206409
step  4855 	 seed 511 	 episode 51  -  -197.73850638932026
step  4962 	 seed 768 	 episode 52  -  -158.1715310219609
step  5040 	 seed 393 	 episode 53  -  -122.72772730321608
step  5101 	 seed 368 	 episode 54  -  -69.56994196067794
step  5192 	 seed 791 	 episode 55  -  -128.5952313315332
step  5295 	 seed 665 	 episode 56  -  -109.75820336119507
step  5369 	 seed 244 	 episode 57  -  -300.6531069754061
step  5464 	 seed 272 	 episode 58  -  -126.9704813406906
step  5559 	 seed 860 	 episode 59  -  -141.22198953075804
step  5637 	 seed 990 	 episode 60  -  -97.20732090824934
step  5757 	 seed 379 	 episode 61  -  -80.06561704166226
step  5856 	 seed 432 	 episode 62  -  -23.366666837818386
step  5915 	 seed 229 	 episode 63  -  -145.3427246243374
step  6032 	 seed 639 	 episode 64  -  -333.32826737320653
step  6105 	 seed 210 	 episode 65  -  -109.77083646624929
