C:\Users\thatx\anaconda3\lib\site-packages\scipy\__init__.py:177: UserWarning: A NumPy version >=1.18.5 and <1.26.0 is required for this version of SciPy (detected version 1.26.0
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
2023-10-31 18:03:07.555315: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: SSE SSE2 SSE3 SSE4.1 SSE4.2 AVX AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
Now with the random
step  200 	 seed 858 	 episode 0  -  -200.0
step  400 	 seed 511 	 episode 1  -  -200.0
step  600 	 seed 166 	 episode 2  -  -200.0
step  800 	 seed 990 	 episode 3  -  -200.0
step  1000 	 seed 843 	 episode 4  -  -200.0
step  1200 	 seed 481 	 episode 5  -  -200.0
step  1400 	 seed 276 	 episode 6  -  -200.0
step  1600 	 seed 488 	 episode 7  -  -200.0
step  1800 	 seed 661 	 episode 8  -  -200.0
step  2000 	 seed 216 	 episode 9  -  -200.0
step  2200 	 seed 673 	 episode 10  -  -200.0
step  2400 	 seed 479 	 episode 11  -  -200.0
step  2600 	 seed 562 	 episode 12  -  -200.0
step  2800 	 seed 845 	 episode 13  -  -200.0
step  3000 	 seed 311 	 episode 14  -  -200.0
step  3200 	 seed 942 	 episode 15  -  -200.0
step  3400 	 seed 555 	 episode 16  -  -200.0
step  3600 	 seed 388 	 episode 17  -  -200.0
step  3800 	 seed 643 	 episode 18  -  -200.0
step  4000 	 seed 795 	 episode 19  -  -200.0
step  4200 	 seed 773 	 episode 20  -  -200.0
step  4400 	 seed 804 	 episode 21  -  -200.0
step  4600 	 seed 572 	 episode 22  -  -200.0
step  4800 	 seed 302 	 episode 23  -  -200.0
step  5000 	 seed 254 	 episode 24  -  -200.0
step  5200 	 seed 457 	 episode 25  -  -200.0
step  5400 	 seed 830 	 episode 26  -  -200.0
step  5600 	 seed 471 	 episode 27  -  -200.0
step  5800 	 seed 951 	 episode 28  -  -200.0
step  6000 	 seed 235 	 episode 29  -  -200.0
step  6200 	 seed 364 	 episode 30  -  -200.0
step  6400 	 seed 208 	 episode 31  -  -200.0
step  6600 	 seed 379 	 episode 32  -  -200.0
step  6800 	 seed 118 	 episode 33  -  -200.0
step  7000 	 seed 839 	 episode 34  -  -200.0
step  7200 	 seed 141 	 episode 35  -  -200.0
step  7400 	 seed 110 	 episode 36  -  -200.0
step  7600 	 seed 531 	 episode 37  -  -200.0
step  7800 	 seed 816 	 episode 38  -  -200.0
step  8000 	 seed 808 	 episode 39  -  -200.0
step  8200 	 seed 584 	 episode 40  -  -200.0
step  8400 	 seed 539 	 episode 41  -  -200.0
step  8600 	 seed 664 	 episode 42  -  -200.0
step  8800 	 seed 383 	 episode 43  -  -200.0
step  9000 	 seed 856 	 episode 44  -  -200.0
