Seeds, random, policy, tree, code, tree 40 eps, tree 100 eps, tree 200 eps
270, -200.0, -101.0, -101.0, -101.0, -101.0, -101.0, -101.0
243, -200.0, -105.0, -106.0, -106.0, -105.0, -105.0, -105.0
115, -200.0, -105.0, -106.0, -106.0, -105.0, -105.0, -105.0
917, -200.0, -85.0, -100.0, -100.0, -85.0, -85.0, -85.0
324, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
354, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
355, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
788, -200.0, -104.0, -105.0, -105.0, -104.0, -103.0, -104.0
887, -200.0, -84.0, -99.0, -99.0, -84.0, -84.0, -84.0
576, -200.0, -102.0, -101.0, -101.0, -102.0, -102.0, -102.0
226, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
160, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
437, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
114, -200.0, -105.0, -105.0, -105.0, -105.0, -106.0, -105.0
989, -200.0, -105.0, -107.0, -107.0, -105.0, -105.0, -105.0
569, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
329, -200.0, -105.0, -106.0, -106.0, -105.0, -105.0, -105.0
828, -200.0, -105.0, -106.0, -106.0, -104.0, -105.0, -105.0
328, -200.0, -103.0, -105.0, -105.0, -103.0, -103.0, -103.0
121, -200.0, -102.0, -101.0, -101.0, -102.0, -102.0, -102.0
816, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
923, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
318, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
119, -200.0, -105.0, -106.0, -106.0, -105.0, -105.0, -105.0
501, -200.0, -85.0, -100.0, -100.0, -85.0, -85.0, -85.0
191, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
504, -200.0, -104.0, -104.0, -104.0, -105.0, -104.0, -104.0
862, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
259, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
800, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
341, -200.0, -105.0, -105.0, -105.0, -106.0, -105.0, -105.0
613, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
404, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
498, -200.0, -105.0, -106.0, -106.0, -104.0, -105.0, -105.0
858, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
643, -200.0, -104.0, -104.0, -104.0, -104.0, -105.0, -104.0
103, -200.0, -105.0, -105.0, -105.0, -105.0, -106.0, -105.0
568, -200.0, -104.0, -104.0, -104.0, -105.0, -104.0, -104.0
606, -200.0, -105.0, -104.0, -104.0, -104.0, -104.0, -105.0
861, -200.0, -84.0, -99.0, -99.0, -84.0, -84.0, -84.0
835, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
785, -200.0, -105.0, -106.0, -106.0, -105.0, -105.0, -105.0
744, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
421, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
733, -200.0, -86.0, -100.0, -100.0, -86.0, -86.0, -86.0
441, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
349, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
