Seeds, random, policy, tree, code, tree 40 eps, tree 100 eps, tree 200 eps
858, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
511, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
166, -200.0, -102.0, -102.0, -102.0, -101.0, -102.0, -102.0
990, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
843, -200.0, -105.0, -105.0, -105.0, -105.0, -106.0, -105.0
481, -200.0, -105.0, -106.0, -106.0, -105.0, -105.0, -105.0
276, -200.0, -104.0, -104.0, -104.0, -104.0, -104.0, -104.0
488, -200.0, -105.0, -106.0, -106.0, -105.0, -105.0, -105.0
661, -200.0, -103.0, -103.0, -103.0, -104.0, -103.0, -103.0
216, -200.0, -105.0, -107.0, -107.0, -105.0, -106.0, -105.0
673, -200.0, -105.0, -106.0, -106.0, -106.0, -105.0, -105.0
479, -200.0, -104.0, -104.0, -104.0, -104.0, -103.0, -103.0
562, -200.0, -105.0, -106.0, -106.0, -105.0, -105.0, -105.0
845, -200.0, -105.0, -105.0, -105.0, -105.0, -106.0, -106.0
311, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
942, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
555, -200.0, -105.0, -105.0, -105.0, -105.0, -106.0, -105.0
388, -200.0, -105.0, -105.0, -105.0, -105.0, -106.0, -105.0
643, -200.0, -104.0, -104.0, -104.0, -106.0, -104.0, -104.0
795, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -106.0
773, -200.0, -105.0, -106.0, -106.0, -105.0, -105.0, -105.0
804, -200.0, -105.0, -106.0, -106.0, -105.0, -105.0, -105.0
572, -200.0, -105.0, -106.0, -106.0, -105.0, -105.0, -105.0
302, -200.0, -104.0, -104.0, -104.0, -104.0, -104.0, -104.0
254, -200.0, -105.0, -106.0, -106.0, -105.0, -105.0, -105.0
457, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
830, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
471, -200.0, -105.0, -104.0, -104.0, -105.0, -104.0, -104.0
951, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
235, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
364, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
208, -200.0, -105.0, -106.0, -106.0, -105.0, -105.0, -105.0
379, -200.0, -101.0, -101.0, -101.0, -101.0, -101.0, -101.0
118, -200.0, -105.0, -105.0, -105.0, -105.0, -105.0, -105.0
839, -200.0, -105.0, -107.0, -107.0, -106.0, -106.0, -105.0
141, -200.0, -105.0, -106.0, -106.0, -105.0, -105.0, -105.0
110, -200.0, -85.0, -84.0, -84.0, -100.0, -85.0, -85.0
