Seeds, random, policy, tree, code, tree 40 eps, tree 100 eps, tree 200 eps
338, 23.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
149, 19.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
890, 60.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
545, 16.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
275, 14.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
796, 19.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
176, 17.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
843, 19.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
596, 23.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
110, 11.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
742, 22.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
348, 21.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
270, 15.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
797, 17.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
311, 17.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
789, 14.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
724, 15.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
560, 19.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
317, 19.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
517, 15.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
940, 24.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
854, 21.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
475, 10.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
679, 20.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
330, 22.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
675, 47.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
514, 18.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
974, 11.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
850, 17.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
794, 9.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
522, 29.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
225, 13.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
492, 26.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
533, 27.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
561, 14.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
744, 15.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
221, 13.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
113, 9.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
420, 19.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
847, 27.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
970, 19.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
252, 17.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
747, 22.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
633, 9.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
933, 23.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
484, 72.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
587, 18.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
665, 38.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
597, 11.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
501, 12.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
283, 22.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
547, 13.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
793, 10.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
256, 15.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
322, 13.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
812, 21.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
500, 12.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
826, 16.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
168, 21.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
272, 11.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
408, 13.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
245, 12.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
431, 12.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
966, 10.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
740, 28.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
481, 30.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
779, 14.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
684, 14.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
224, 21.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
505, 20.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
543, 42.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
800, 67.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
762, 16.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
946, 9.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
321, 38.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
499, 13.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
643, 20.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
412, 30.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
788, 9.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
535, 10.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
100, 16.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
658, 21.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
664, 45.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
983, 37.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
448, 33.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
489, 22.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
404, 12.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
445, 12.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
906, 11.0, 500.0, 163.0, 163.0, 500.0, 500.0, 500.0
383, 43.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
511, 43.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
837, 19.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
460, 17.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
722, 19.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
807, 15.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
362, 23.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
751, 26.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
614, 12.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
286, 11.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
424, 23.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
