Seeds, random, policy, tree, code, tree 40 eps, tree 100 eps, tree 200 eps
530, 16.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
137, 32.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
263, 68.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
814, 72.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
529, 39.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
669, 9.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
689, 11.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
258, 12.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
503, 13.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
222, 33.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
656, 22.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
323, 14.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
575, 54.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
196, 10.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
344, 15.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
562, 11.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
536, 38.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
976, 14.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
629, 14.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
298, 15.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
474, 12.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
413, 16.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
990, 22.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
468, 12.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
593, 9.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
671, 31.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
826, 16.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
565, 17.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
134, 18.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
795, 30.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
631, 19.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
735, 74.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
790, 49.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
157, 30.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
300, 18.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
724, 11.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
296, 20.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
703, 13.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
854, 51.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
272, 13.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
416, 17.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
173, 20.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
130, 19.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
904, 12.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
965, 10.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
949, 17.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
385, 19.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
231, 11.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
602, 26.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
486, 15.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
717, 28.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
396, 17.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
924, 16.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
999, 19.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
329, 20.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
955, 65.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
169, 11.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
679, 11.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
931, 25.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
539, 9.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
947, 12.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
394, 24.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
571, 13.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
873, 35.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
489, 23.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
544, 25.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
112, 21.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
792, 20.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
214, 18.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
188, 14.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
810, 45.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
716, 24.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
626, 25.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
284, 13.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
743, 15.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
848, 32.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
210, 41.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
533, 20.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
649, 14.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
896, 15.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
705, 12.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
885, 12.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
737, 12.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
213, 28.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
306, 14.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
794, 19.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
398, 9.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
929, 18.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
974, 17.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
893, 32.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
733, 20.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
978, 25.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
269, 12.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
102, 54.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
551, 19.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
380, 24.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
388, 15.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
567, 10.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
558, 23.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
163, 13.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0
